name,spawn_l,spawn_r,spawn_hugewave_l,spawn_hugewave_r,movement_type,movement_args,speed_l,speed_r,freeze_immune,chill_immune,defx_l,defx_r,defy_l,defy_r,atk_l,atk_r,hp,summon_weight_normal,summon_weight_hugewave,on_ground,in_pool,in_pool_wave1to5,pos_col,dmg_range_lo,dmg_range_hi,min_cs_normal,min_cs_flag,h,flag_offset
Dancing,780,819,820,859,dancing,"9.8,9.8,9.8,13.3,16.7,20.1,22.2,24.4,26.5,27.9,29.3,30.8,37.5,44.3,51.1,51.1,51.1,53.8,56.9,59.9,62.9,66.1,69.3,72.4,78.2,84,89.8",640/423,640/423,false,false,36,78,0,115,50,100,500,1000,1000,true,false,false,dancing,-129,764,30,86,0,40
Snorkel,780,819,820,859,animation,"-59.8,-58.2,-56.5,-54.8,-53.2,-51.5,-49.8,-48.2,-46.5,-44.8,-43.2,-41.5,-39.8,-38.2,-36.5,-34.8,-33.2,-31.5,-29.8,-28.2,-26.5,-24.8,-23.2,-21.5,-19.8,-18.2,-16.5,-14.8,-13.2,-11.5,-9.8,-8.2,-6.5,-4.8,-3.2,-1.5,0.1",0.66,0.68,false,false,12,74,0,115,-5,-10,270,2000,2000,false,true,true,snorkel,-129,788,0,95,10,0
Zomboni,800,809,800,809,zomboni,,0,0,true,true,0,153,-13,127,10,20,1350,2000,2000,true,false,false,zomboni,-174,800,0,0,0,40
DolphinRider,780,819,820,859,animation,"-59.8,-58.7,-57.6,-56.6,-55.5,-52.7,-49.9,-47.2,-45.9,-44.6,-43.3,-42.1,-40.9,-39.7,-38.5,-37.3,-36.1,-35,-33.8,-32.6,-31.2,-29.8,-28.4,-27,-25.6,-23.6,-21.5,-19.5,-17.4,-15.4,-13.3,-11.3,-9.2,-7.4,-5.6,-3.8,-2,-0.2,1.5",0.89,0.91,false,false,36,78,0,115,-29,-58,500,1500,1500,false,true,true,dolphin,-99,764,33,128,0,0
JackInTheBox,780,819,820,859,animation,"-49.8,-49.8,-49.2,-48.6,-47.9,-44.3,-40.7,-39.7,-38.7,-38.7,-37.8,-36.8,-35.8,-34,-32.1,-32.1,-32.1,-30.5,-28.9",0.66,0.68,false,false,36,78,0,115,20,40,500,1000,1000,true,false,false,jack,-99,764,43,154,0,40
Balloon,780,819,820,859,constant,,0.23,0.37,true,false,36,78,30,145,20,40,290,2000,2000,true,true,false,balloon,-99,764,41,149,25,40
Digger,780,819,820,859,constant,,0.66,0.68,true,true,50,78,0,115,50,100,370,1000,1000,true,false,false,digger,9,750,43,102,0,0
Pogo,780,819,820,859,constant,,0.45,0.45,true,false,36,78,0,115,10,20,500,1000,1000,true,false,false,pogo,-99,764,34,123,16,40
Ladder,780,819,820,859,animation,"-39.8,-39,-38.1,-37.3,-36.5,-33.6,-30.7,-27.9,-25,-21.1,-17.2,-13.2,-9.3,-5.4,-4.6,-3.9,-3.1,-2.4,-1.6,-1.6,-1.6,-1.6,-1.6,-0.6,0.2,1.2,2.1,3,5.2,7.3,9.6,11.7,13.9,15.9,18,20.1,22.2,24.2,24.7,25.2,25.6,26.1,26.1,26.1,26.1,26.1,26.1",0.79,0.81,false,false,36,78,0,115,10,20,600,1000,1000,true,false,false,ladder,-99,764,30,121,0,40
Catapult,825,834,825,834,constant,,0.23,0.37,false,false,0,153,-13,127,10,20,850,1500,1500,true,false,false,catapult,-174,800,65,65,0,40
Gargantuar,845,854,845,854,animation,"-79.8,-75.3,-70.8,-66.3,-61.9,-57.4,-54.5,-51.5,-48.5,-45.6,-42.6,-38.2,-33.8,-29.4,-25,-24.6,-24.1,-23.7,-23.2,-22.8,-21.1,-19.4,-17.7,-16,-14.3,-11.9,-9.5,-7.1,-4.7,-2.3,3,8.4,13.8,19.2,24.6,29.1,33.5,38,42.5,42.5,42.5,42.5,42.5,42.5,42.9,43.3,43.5,43.9,44.3",0.23,0.37,false,false,-17,108,-38,116,-30,-60,3000,1500,1500,true,false,false,gargantuar,-149,817,96,96,0,40
GigaGargantuar,845,854,845,854,animation,"-79.8,-75.3,-70.8,-66.3,-61.9,-57.4,-54.5,-51.5,-48.5,-45.6,-42.6,-38.2,-33.8,-29.4,-25,-24.6,-24.1,-23.7,-23.2,-22.8,-21.1,-19.4,-17.7,-16,-14.3,-11.9,-9.5,-7.1,-4.7,-2.3,3,8.4,13.8,19.2,24.6,29.1,33.5,38,42.5,42.5,42.5,42.5,42.5,42.5,42.9,43.3,43.5,43.9,44.3",0.23,0.37,false,false,-17,108,-38,116,-30,-60,6000,1000,6000,true,false,false,gargantuar,-149,817,96,96,0,40
